razdel,code,name,level,parent_code
A,01,"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",unknown,
A,01.1,Выращивание однолетних культур,unknown,01
A,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",unknown,01
A,01.11.1,Выращивание зерновых культур,unknown,01.11
A,01.11.11,Выращивание пшеницы,unknown,01.11
A,01.11.12,Выращивание ячменя,unknown,01.11
A,01.11.13,Выращивание ржи,unknown,01.11
A,01.11.14,Выращивание кукурузы,unknown,01.11
A,01.11.15,Выращивание овса,unknown,01.11
A,01.11.16,Выращивание гречихи,unknown,01.11
A,01.11.19,Выращивание прочих зерновых культур,unknown,01.11
A,01.11.2,Выращивание зернобобовых культур,unknown,01.11
A,01.11.3,Выращивание семян масличных культур,unknown,01.11
A,01.11.31,Выращивание семян подсолнечника,unknown,01.11
A,01.11.32,Выращивание семян рапса,unknown,01.11
A,01.11.33,Выращивание семян соевых бобов,unknown,01.11
A,01.11.39,Выращивание семян прочих масличных культур,unknown,01.11
A,01.12,Выращивание риса,unknown,01
A,01.13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",unknown,01
A,01.13.1,Выращивание овощей,unknown,01.13
A,01.13.11,Выращивание овощей открытого грунта,unknown,01.13
A,01.13.12,Выращивание овощей защищенного грунта,unknown,01.13
A,01.13.2,Выращивание бахчевых культур,unknown,01.13
A,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,unknown,01.13
A,01.13.31,Выращивание картофеля,unknown,01.13
A,01.13.39,Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,unknown,01.13
A,01.13.4,"Выращивание семян овощных культур, за исключением семян сахарной свеклы",unknown,01.13
A,01.13.5,Выращивание сахарной свеклы и семян сахарной свеклы,unknown,01.13
A,01.13.51,Выращивание сахарной свеклы,unknown,01.13
A,01.13.52,Выращивание семян сахарной свеклы,unknown,01.13
A,01.13.6,Выращивание грибов и трюфелей,unknown,01.13
A,01.13.9,"Выращивание овощей, не включенных в другие группировки",unknown,01.13
A,01.14,Выращивание сахарного тростника,unknown,01
A,01.15,Выращивание табака и махорки,unknown,01
A,01.16,Выращивание волокнистых прядильных культур,unknown,01
A,01.16.1,Выращивание хлопчатника,unknown,01.16
A,01.16.2,Выращивание льна,unknown,01.16
A,01.16.3,Выращивание обыкновенной конопли,unknown,01.16
A,01.16.9,Выращивание прочих текстильных культур,unknown,01.16
A,01.19,Выращивание прочих однолетних культур,unknown,01
A,01.19.1,Выращивание однолетних кормовых культур,unknown,01.19
A,01.19.2,Цветоводство,unknown,01.19
A,01.19.21,Выращивание цветов в открытом и защищенном грунте,unknown,01.19
A,01.19.22,Выращивание семян цветов,unknown,01.19
A,01.19.3,Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур,unknown,01.19
A,01.19.9,"Выращивание прочих однолетних культур, не включенных в другие группировки",unknown,01.19
A,01.2,Выращивание многолетних культур,unknown,01
A,01.21,Выращивание винограда,unknown,01
A,01.22,Выращивание тропических и субтропических культур,unknown,01
A,01.23,Выращивание цитрусовых культур,unknown,01
